iter,is_decode,batch_size,num_tokens,max_seq_len
0,True,12,12,20149
1,True,14,14,17574
2,True,15,15,11431
3,True,15,15,7652
4,True,15,15,7653
5,True,15,15,7654
6,True,15,15,7655
7,True,15,15,7656
8,True,15,15,7657
9,True,15,15,7658
10,True,15,15,7659
11,True,15,15,7660
12,True,15,15,7661
13,True,15,15,7662
14,True,15,15,7663
15,True,15,15,7664
16,True,15,15,7665
17,True,15,15,7666
18,True,15,15,7667
19,True,15,15,7668
20,True,15,15,7669
21,True,15,15,7670
22,True,15,15,7671
23,True,15,15,7672
24,True,15,15,7673
25,True,15,15,7674
26,True,15,15,7675
27,True,15,15,7676
28,True,15,15,7677
29,True,15,15,7678
30,True,15,15,7679
31,True,15,15,7680
32,True,15,15,7681
33,True,15,15,7682
34,True,15,15,7683
35,True,15,15,7684
36,True,15,15,7685
37,True,15,15,7686
38,True,15,15,7687
39,True,15,15,7688
40,True,15,15,7689
41,True,15,15,7690
42,True,15,15,7691
43,True,15,15,7692
44,True,15,15,7693
45,True,15,15,7694
46,True,15,15,7695
47,True,15,15,7696
48,True,15,15,7697
49,True,15,15,7698
50,True,15,15,7699
51,True,15,15,7700
52,True,15,15,7701
53,True,15,15,7702
54,True,15,15,7703
55,True,15,15,7704
56,True,15,15,7705
57,True,15,15,7706
58,True,15,15,7707
59,True,15,15,7708
60,True,15,15,7709
61,True,15,15,7710
62,True,15,15,7711
63,True,15,15,7712
64,True,15,15,7713
65,True,15,15,7714
66,True,15,15,7715
67,True,15,15,7716
68,True,15,15,7717
69,True,15,15,7718
70,True,15,15,7719
71,True,15,15,7720
72,True,15,15,7721
73,True,15,15,7722
74,True,15,15,7723
75,True,15,15,7724
76,True,15,15,7725
77,True,15,15,7726
78,True,15,15,7727
79,True,15,15,7728
80,True,15,15,7729
81,True,15,15,7730
82,True,15,15,7731
83,True,19,19,17960
84,True,20,20,15629
85,True,20,20,7734
86,True,20,20,7735
87,True,20,20,7736
88,True,20,20,7737
89,True,20,20,7738
90,True,20,20,7739
91,True,20,20,7740
92,True,20,20,7741
93,True,20,20,7742
94,True,20,20,7743
95,True,20,20,7744
96,True,20,20,7745
97,True,20,20,7746
98,True,20,20,7747
99,True,9,9,7390
100,True,7,7,7391
101,True,6,6,7392
102,True,5,5,7393
103,True,5,5,7394
104,True,5,5,7395
105,True,5,5,7396
106,True,5,5,7397
107,True,5,5,7398
108,True,5,5,7399
109,True,5,5,7400
110,True,5,5,7401
111,True,5,5,7402
112,True,5,5,7403
113,True,5,5,7404
114,True,5,5,7405
115,True,5,5,7406
116,True,5,5,7407
117,True,5,5,7408
118,True,5,5,7409
119,True,5,5,7410
120,True,5,5,7411
121,True,5,5,7412
122,True,5,5,7413
123,True,5,5,7414
124,True,5,5,7415
125,True,5,5,7416
126,True,5,5,7417
127,True,5,5,7418
128,True,5,5,7419
129,True,5,5,7420
130,True,5,5,7421
131,True,5,5,7422
132,True,5,5,7423
133,True,5,5,7424
134,True,5,5,7425
135,True,5,5,7426
136,True,5,5,7427
137,True,5,5,7428
138,True,6,6,13981
139,True,6,6,7430
140,True,6,6,7431
141,True,6,6,7432
142,True,6,6,7433
143,True,6,6,7434
144,True,6,6,7435
145,True,6,6,7436
146,True,6,6,7437
147,True,6,6,7438
148,True,6,6,7439
149,True,6,6,7440
150,True,6,6,7441
151,True,6,6,7442
152,True,6,6,7443
153,True,6,6,7444
154,True,6,6,7445
155,True,6,6,7446
156,True,6,6,7447
157,True,6,6,7448
158,True,6,6,7449
159,True,6,6,7450
160,True,6,6,7451
161,True,6,6,7452
162,True,6,6,7453
163,True,6,6,7454
164,True,6,6,7455
165,True,6,6,7456
166,True,6,6,7457
167,True,6,6,7458
168,True,6,6,7459
169,True,6,6,7460
170,True,6,6,7461
171,True,6,6,7462
172,True,6,6,7463
173,True,6,6,7464
174,True,6,6,7465
175,True,6,6,7466
176,True,6,6,7467
177,True,6,6,7468
178,True,6,6,7469
179,True,6,6,7470
180,True,6,6,7471
181,True,6,6,7472
182,True,3,3,3691
183,True,2,2,3225
184,True,1,1,2843
185,True,1,1,2844
186,True,1,1,2845
187,True,1,1,2846
188,True,1,1,2847
189,True,1,1,2848
190,True,1,1,2849
191,True,1,1,2850
192,True,1,1,2851
193,True,1,1,2852
194,True,1,1,2853
195,True,1,1,2854
196,True,1,1,2855
197,True,1,1,2856
198,True,1,1,2857
199,True,1,1,2858
200,True,1,1,2859
201,True,1,1,2860
202,True,1,1,2861
203,True,1,1,2862
204,True,1,1,2863
205,True,1,1,2864
206,True,1,1,2865
207,True,1,1,2866
208,True,1,1,2867
209,True,31,31,35955
210,True,33,33,24504
211,True,34,34,30469
