iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
10,attn,360,149.7037,0.4158,0.3594,13.1830
10,attn_kernel,360,102.2597,0.2841,0.2621,0.5673
10,down_proj,360,22.4604,0.0624,0.0604,0.1024
10,gate_up_proj,360,37.4477,0.1040,0.1004,0.2703
10,mlp,360,68.2844,0.1897,0.1853,0.4526
10,o_proj,360,26.3117,0.0731,0.0369,12.5655
10,qkv_proj,360,14.7149,0.0409,0.0389,0.0778
20,attn,360,135.7629,0.3771,0.3625,0.6902
20,attn_kernel,360,100.8056,0.2800,0.2673,0.5530
20,down_proj,360,22.4338,0.0623,0.0604,0.0645
20,gate_up_proj,360,37.3197,0.1037,0.1014,0.1085
20,mlp,360,68.0868,0.1891,0.1864,0.1946
20,o_proj,360,13.7708,0.0383,0.0369,0.0399
20,qkv_proj,360,14.7917,0.0411,0.0389,0.0686
30,attn,360,135.9196,0.3776,0.3625,0.7844
30,attn_kernel,360,100.9930,0.2805,0.2673,0.6482
30,down_proj,360,22.4451,0.0623,0.0594,0.0655
30,gate_up_proj,360,37.3309,0.1037,0.1004,0.1075
30,mlp,360,68.1011,0.1892,0.1864,0.1935
30,o_proj,360,13.7564,0.0382,0.0369,0.0399
30,qkv_proj,360,14.7763,0.0410,0.0389,0.0696
40,attn,360,135.9698,0.3777,0.3615,0.7076
40,attn_kernel,360,101.0053,0.2806,0.2673,0.5704
40,down_proj,360,22.4686,0.0624,0.0604,0.0645
40,gate_up_proj,360,37.2859,0.1036,0.1014,0.1075
40,mlp,360,68.0643,0.1891,0.1864,0.1946
40,o_proj,360,13.7605,0.0382,0.0369,0.0399
40,qkv_proj,360,14.7722,0.0410,0.0389,0.0686
50,attn,360,135.9780,0.3777,0.3625,0.6984
50,attn_kernel,360,101.0207,0.2806,0.2673,0.5571
50,down_proj,360,22.4287,0.0623,0.0604,0.0645
50,gate_up_proj,360,37.3074,0.1036,0.1014,0.1075
50,mlp,360,68.0755,0.1891,0.1864,0.1935
50,o_proj,360,13.7636,0.0382,0.0369,0.0399
50,qkv_proj,360,14.7978,0.0411,0.0389,0.0737
60,attn,360,135.9636,0.3777,0.3615,0.7055
60,attn_kernel,360,100.8609,0.2802,0.2662,0.5673
60,down_proj,360,22.4420,0.0623,0.0604,0.0655
60,gate_up_proj,360,37.3893,0.1039,0.1004,0.2304
60,mlp,360,68.1728,0.1894,0.1853,0.3174
60,o_proj,360,13.7728,0.0383,0.0369,0.0399
60,qkv_proj,360,14.7661,0.0410,0.0389,0.0676
70,attn,360,135.7169,0.3770,0.3615,0.6861
70,attn_kernel,360,100.8005,0.2800,0.2662,0.5509
70,down_proj,360,22.4328,0.0623,0.0604,0.0655
70,gate_up_proj,360,37.6177,0.1045,0.1014,0.2529
70,mlp,360,68.3776,0.1899,0.1853,0.3379
70,o_proj,360,13.7810,0.0383,0.0369,0.0410
70,qkv_proj,360,14.7640,0.0410,0.0389,0.0686
80,attn,360,136.2186,0.3784,0.3615,0.7905
80,attn_kernel,360,101.0964,0.2808,0.2662,0.6513
80,down_proj,360,22.4440,0.0623,0.0604,0.0645
80,gate_up_proj,360,37.4385,0.1040,0.1004,0.2458
80,mlp,360,68.2056,0.1895,0.1853,0.3297
80,o_proj,360,13.7492,0.0382,0.0369,0.0399
80,qkv_proj,360,14.9463,0.0415,0.0389,0.2161
90,attn,360,157.6049,0.4378,0.3635,0.8243
90,attn_kernel,360,121.9758,0.3388,0.2683,0.6707
90,down_proj,360,22.7369,0.0632,0.0604,0.0666
90,gate_up_proj,360,37.1323,0.1031,0.1014,0.1085
90,mlp,360,68.1595,0.1893,0.1864,0.1935
90,o_proj,360,14.4046,0.0400,0.0369,0.0420
90,qkv_proj,360,14.8675,0.0413,0.0389,0.0788
100,attn,360,161.9118,0.4498,0.3052,0.8253
100,attn_kernel,360,125.7882,0.3494,0.2109,0.6840
100,down_proj,360,22.8055,0.0633,0.0594,0.0655
100,gate_up_proj,360,37.0862,0.1030,0.1004,0.1249
100,mlp,360,68.2260,0.1895,0.1853,0.2099
100,o_proj,360,14.5388,0.0404,0.0369,0.0420
100,qkv_proj,360,15.1706,0.0421,0.0389,0.1341
110,attn,360,122.5912,0.3405,0.2918,1.5483
110,attn_kernel,360,81.2913,0.2258,0.1925,0.5366
110,down_proj,360,23.6861,0.0658,0.0604,0.0809
110,gate_up_proj,360,43.7914,0.1216,0.1014,0.1536
110,mlp,360,77.4799,0.2152,0.1884,0.2632
110,o_proj,360,16.2355,0.0451,0.0399,0.9994
110,qkv_proj,360,18.0736,0.0502,0.0389,0.2693
120,attn,360,110.3903,0.3066,0.2877,0.5437
120,attn_kernel,360,73.9645,0.2055,0.1864,0.4045
120,down_proj,360,23.6810,0.0658,0.0604,0.0727
120,gate_up_proj,360,41.5406,0.1154,0.1065,0.1331
120,mlp,360,73.6584,0.2046,0.1925,0.2396
120,o_proj,360,15.2658,0.0424,0.0399,0.0625
120,qkv_proj,360,14.7046,0.0408,0.0379,0.0768
130,attn,360,111.4061,0.3095,0.2898,1.0865
130,attn_kernel,360,74.2226,0.2062,0.1905,0.3983
130,down_proj,360,23.7240,0.0659,0.0604,0.0829
130,gate_up_proj,360,41.6471,0.1157,0.1065,0.1741
130,mlp,360,73.7546,0.2049,0.1935,0.3062
130,o_proj,360,15.9980,0.0444,0.0389,0.7967
130,qkv_proj,360,14.7292,0.0409,0.0379,0.0778
140,attn,360,109.3407,0.3037,0.2683,0.5284
140,attn_kernel,360,73.0747,0.2030,0.1690,0.3799
140,down_proj,360,23.6216,0.0656,0.0604,0.0717
140,gate_up_proj,360,40.9283,0.1137,0.1014,0.1300
140,mlp,360,72.9037,0.2025,0.1894,0.2304
140,o_proj,360,15.2310,0.0423,0.0399,0.0451
140,qkv_proj,360,14.6350,0.0407,0.0379,0.0768
150,attn,360,113.0916,0.3141,0.2918,0.5212
150,attn_kernel,360,76.6925,0.2130,0.1935,0.3799
150,down_proj,360,23.7711,0.0660,0.0604,0.2509
150,gate_up_proj,360,39.1035,0.1086,0.1014,0.2376
150,mlp,360,71.1711,0.1977,0.1884,0.3963
150,o_proj,360,15.2494,0.0424,0.0399,0.0451
150,qkv_proj,360,14.7620,0.0410,0.0379,0.0676
160,attn,360,113.2278,0.3145,0.2918,0.5683
160,attn_kernel,360,76.7058,0.2131,0.1915,0.4311
160,down_proj,360,23.6104,0.0656,0.0604,0.0707
160,gate_up_proj,360,39.0021,0.1083,0.1014,0.1280
160,mlp,360,70.9550,0.1971,0.1874,0.2284
160,o_proj,360,15.2801,0.0424,0.0389,0.0492
160,qkv_proj,360,14.8173,0.0412,0.0379,0.0809
170,attn,360,113.1469,0.3143,0.2939,0.5181
170,attn_kernel,360,76.7775,0.2133,0.1946,0.3820
170,down_proj,360,23.6667,0.0657,0.0604,0.0717
170,gate_up_proj,360,38.9294,0.1081,0.1014,0.1270
170,mlp,360,70.9898,0.1972,0.1874,0.2540
170,o_proj,360,15.2668,0.0424,0.0399,0.0451
170,qkv_proj,360,14.6893,0.0408,0.0379,0.0666
180,attn,360,114.2620,0.3174,0.2949,0.8653
180,attn_kernel,360,77.1860,0.2144,0.1946,0.3881
180,down_proj,360,23.5489,0.0654,0.0604,0.0717
180,gate_up_proj,360,39.1199,0.1087,0.1014,0.1280
180,mlp,360,71.0369,0.1973,0.1874,0.2314
180,o_proj,360,15.2494,0.0424,0.0399,0.0451
180,qkv_proj,360,14.9647,0.0416,0.0379,0.0870
190,attn,360,124.5471,0.3460,0.2499,18.1658
190,attn_kernel,360,62.5203,0.1737,0.1290,0.3615
190,down_proj,360,22.1512,0.0615,0.0584,0.1167
190,gate_up_proj,360,42.5318,0.1181,0.1014,0.2980
190,mlp,360,77.1092,0.2142,0.1905,0.4649
190,o_proj,360,37.3402,0.1037,0.0379,17.6343
190,qkv_proj,360,16.8653,0.0468,0.0379,0.2120
200,attn,360,104.4777,0.2902,0.2652,0.4495
200,attn_kernel,360,56.8361,0.1579,0.1260,0.2826
200,down_proj,360,21.6381,0.0601,0.0584,0.0625
200,gate_up_proj,360,42.2636,0.1174,0.1147,0.1372
200,mlp,360,77.1246,0.2142,0.2099,0.2324
200,o_proj,360,21.9679,0.0610,0.0573,0.0758
200,qkv_proj,360,17.4725,0.0485,0.0379,0.2345
210,attn,360,152.8003,0.4244,0.2714,1.6507
210,attn_kernel,360,106.3393,0.2954,0.1495,1.5503
210,down_proj,360,21.7815,0.0605,0.0584,0.0686
210,gate_up_proj,360,41.6594,0.1157,0.1004,0.1321
210,mlp,360,76.2348,0.2118,0.1864,0.2376
210,o_proj,360,21.3637,0.0593,0.0399,0.0768
210,qkv_proj,360,17.1848,0.0477,0.0379,0.0727
220,attn,360,322.2927,0.8953,0.7178,1.3496
220,attn_kernel,360,285.5731,0.7933,0.6175,1.2503
220,down_proj,360,23.5336,0.0654,0.0635,0.0686
220,gate_up_proj,360,35.2266,0.0979,0.0952,0.1004
220,mlp,360,67.0638,0.1863,0.1833,0.1905
220,o_proj,360,14.7395,0.0409,0.0399,0.0420
220,qkv_proj,360,15.5996,0.0433,0.0399,0.0963
230,attn,360,271.9058,0.7553,0.7158,1.1377
230,attn_kernel,360,235.1032,0.6531,0.6144,0.9964
230,down_proj,360,23.5192,0.0653,0.0635,0.0686
230,gate_up_proj,360,35.2041,0.0978,0.0952,0.1014
230,mlp,360,67.0464,0.1862,0.1833,0.1905
230,o_proj,360,14.7507,0.0410,0.0399,0.0420
230,qkv_proj,360,15.6826,0.0436,0.0410,0.0799
240,attn,360,291.3229,0.8092,0.7178,1.3896
240,attn_kernel,360,254.5521,0.7071,0.6175,1.2882
240,down_proj,360,23.5203,0.0653,0.0635,0.0676
240,gate_up_proj,360,35.3843,0.0983,0.0952,0.2652
240,mlp,360,67.2020,0.1867,0.1823,0.3533
240,o_proj,360,14.7343,0.0409,0.0399,0.0430
240,qkv_proj,360,15.6611,0.0435,0.0399,0.0788
250,attn,360,275.9404,0.7665,0.7291,1.1407
250,attn_kernel,360,239.1347,0.6643,0.6287,1.0035
250,down_proj,360,23.5254,0.0653,0.0635,0.0676
250,gate_up_proj,360,35.2154,0.0978,0.0952,0.1024
250,mlp,360,67.0546,0.1863,0.1833,0.1915
250,o_proj,360,14.7292,0.0409,0.0399,0.0420
250,qkv_proj,360,15.6641,0.0435,0.0410,0.0686
260,attn,360,277.0063,0.7695,0.7301,1.1745
260,attn_kernel,360,240.0102,0.6667,0.6308,1.0353
260,down_proj,360,23.5438,0.0654,0.0635,0.0676
260,gate_up_proj,360,35.2031,0.0978,0.0952,0.1014
260,mlp,360,67.0618,0.1863,0.1833,0.1894
260,o_proj,360,14.9361,0.0415,0.0399,0.2304
260,qkv_proj,360,15.6457,0.0435,0.0410,0.0707
270,attn,360,277.2275,0.7701,0.7281,1.1581
270,attn_kernel,360,240.4229,0.6678,0.6287,1.0179
270,down_proj,360,23.5469,0.0654,0.0635,0.0686
270,gate_up_proj,360,35.2072,0.0978,0.0952,0.1014
270,mlp,360,67.0597,0.1863,0.1833,0.1905
270,o_proj,360,14.7476,0.0410,0.0399,0.0420
270,qkv_proj,360,15.6682,0.0435,0.0410,0.0696
280,attn,360,277.3084,0.7703,0.7301,1.1960
280,attn_kernel,360,240.5202,0.6681,0.6287,1.0506
280,down_proj,360,23.5438,0.0654,0.0625,0.0686
280,gate_up_proj,360,35.2195,0.0978,0.0952,0.1014
280,mlp,360,67.0515,0.1863,0.1823,0.1905
280,o_proj,360,14.7313,0.0409,0.0399,0.0420
280,qkv_proj,360,15.6703,0.0435,0.0410,0.0727
290,attn,360,277.5634,0.7710,0.7342,1.1674
290,attn_kernel,360,240.7434,0.6687,0.6339,1.0271
290,down_proj,360,23.5407,0.0654,0.0635,0.0686
290,gate_up_proj,360,35.2113,0.0978,0.0952,0.1014
290,mlp,360,67.0628,0.1863,0.1823,0.1905
290,o_proj,360,14.7313,0.0409,0.0399,0.0420
290,qkv_proj,360,15.6682,0.0435,0.0410,0.0686
300,attn,360,277.3965,0.7705,0.7311,1.1694
300,attn_kernel,360,240.6154,0.6684,0.6308,1.0271
300,down_proj,360,23.5479,0.0654,0.0635,0.0676
300,gate_up_proj,360,35.2102,0.0978,0.0952,0.1014
300,mlp,360,67.0413,0.1862,0.1833,0.1905
300,o_proj,360,14.7364,0.0409,0.0399,0.0420
300,qkv_proj,360,15.6570,0.0435,0.0410,0.0707
310,attn,360,294.2679,0.8174,0.7342,1.1479
310,attn_kernel,360,257.5606,0.7154,0.6318,1.0465
310,down_proj,360,23.6554,0.0657,0.0625,0.2191
310,gate_up_proj,360,35.3812,0.0983,0.0952,0.1055
310,mlp,360,67.3382,0.1871,0.1833,0.3400
310,o_proj,360,14.7333,0.0409,0.0399,0.0420
310,qkv_proj,360,15.5904,0.0433,0.0399,0.0788
320,attn,360,344.5709,0.9571,0.7004,1.4397
320,attn_kernel,360,307.7202,0.8548,0.6001,1.3384
320,down_proj,360,23.5971,0.0655,0.0635,0.0686
320,gate_up_proj,360,35.2051,0.0978,0.0952,0.1014
320,mlp,360,67.0925,0.1864,0.1823,0.1894
320,o_proj,360,14.7702,0.0410,0.0399,0.0430
320,qkv_proj,360,15.7604,0.0438,0.0410,0.2140
330,attn,360,274.1289,0.7615,0.7168,1.1581
330,attn_kernel,360,237.1840,0.6588,0.6164,1.0168
330,down_proj,360,23.6605,0.0657,0.0635,0.0676
330,gate_up_proj,360,35.2502,0.0979,0.0952,0.1014
330,mlp,360,67.1785,0.1866,0.1833,0.1905
330,o_proj,360,14.7763,0.0410,0.0399,0.0420
330,qkv_proj,360,15.7788,0.0438,0.0410,0.0696
340,attn,360,288.8315,0.8023,0.7219,1.2349
340,attn_kernel,360,251.8856,0.6997,0.6195,1.1080
340,down_proj,360,23.6544,0.0657,0.0635,0.0686
340,gate_up_proj,360,35.2133,0.0978,0.0952,0.1004
340,mlp,360,67.1549,0.1865,0.1833,0.1894
340,o_proj,360,14.7538,0.0410,0.0399,0.0420
340,qkv_proj,360,15.7891,0.0439,0.0410,0.0973
350,attn,360,274.8959,0.7636,0.7250,1.2524
350,attn_kernel,360,237.7523,0.6604,0.6246,1.0947
350,down_proj,360,23.6544,0.0657,0.0635,0.0686
350,gate_up_proj,360,35.2256,0.0978,0.0952,0.1014
350,mlp,360,67.1744,0.1866,0.1823,0.1905
350,o_proj,360,14.9606,0.0416,0.0399,0.2191
350,qkv_proj,360,15.7993,0.0439,0.0410,0.0809
360,attn,360,274.8703,0.7635,0.7240,1.1428
360,attn_kernel,360,237.8906,0.6608,0.6216,1.0025
360,down_proj,360,23.6646,0.0657,0.0635,0.0686
360,gate_up_proj,360,35.2328,0.0979,0.0952,0.1014
360,mlp,360,67.1693,0.1866,0.1833,0.1905
360,o_proj,360,14.7579,0.0410,0.0399,0.0420
360,qkv_proj,360,15.7655,0.0438,0.0410,0.0717
370,attn,360,275.8359,0.7662,0.7291,1.1622
370,attn_kernel,360,238.8849,0.6636,0.6287,1.0240
370,down_proj,360,23.6564,0.0657,0.0635,0.0686
370,gate_up_proj,360,35.2461,0.0979,0.0952,0.1014
370,mlp,360,67.1744,0.1866,0.1833,0.1915
370,o_proj,360,14.7671,0.0410,0.0399,0.0420
370,qkv_proj,360,15.7880,0.0439,0.0420,0.0788
380,attn,360,276.3213,0.7676,0.7311,1.1725
380,attn_kernel,360,239.4214,0.6651,0.6298,1.0312
380,down_proj,360,23.6462,0.0657,0.0635,0.0686
380,gate_up_proj,360,35.3638,0.0982,0.0952,0.2386
380,mlp,360,67.3085,0.1870,0.1833,0.3267
380,o_proj,360,14.7681,0.0410,0.0399,0.0420
380,qkv_proj,360,15.7809,0.0438,0.0410,0.0696
390,attn,360,276.4483,0.7679,0.7281,1.1735
390,attn_kernel,360,239.5126,0.6653,0.6267,1.0342
390,down_proj,360,23.6390,0.0657,0.0635,0.0686
390,gate_up_proj,360,35.2461,0.0979,0.0952,0.1004
390,mlp,360,67.1857,0.1866,0.1833,0.1905
390,o_proj,360,14.7712,0.0410,0.0399,0.0430
390,qkv_proj,360,15.7716,0.0438,0.0410,0.0686
400,attn,360,276.4718,0.7680,0.7281,1.1602
400,attn_kernel,360,239.5730,0.6655,0.6277,1.0209
400,down_proj,360,23.6483,0.0657,0.0635,0.0696
400,gate_up_proj,360,35.2113,0.0978,0.0952,0.1004
400,mlp,360,67.1427,0.1865,0.1833,0.1894
400,o_proj,360,14.7548,0.0410,0.0399,0.0420
400,qkv_proj,360,15.7778,0.0438,0.0410,0.0809
410,attn,360,238.7046,0.6631,0.3461,1.1653
410,attn_kernel,360,202.2308,0.5618,0.2529,1.0260
410,down_proj,360,23.2909,0.0647,0.0604,0.0686
410,gate_up_proj,360,35.8441,0.0996,0.0952,0.1075
410,mlp,360,67.4099,0.1872,0.1833,0.1925
410,o_proj,360,14.5582,0.0404,0.0369,0.0420
410,qkv_proj,360,15.5740,0.0433,0.0389,0.1393
420,attn,360,116.8579,0.3246,0.2929,0.6451
420,attn_kernel,360,82.1156,0.2281,0.1976,0.5079
420,down_proj,360,22.1194,0.0614,0.0594,0.0655
420,gate_up_proj,360,37.4600,0.1041,0.1004,0.1116
420,mlp,360,67.8359,0.1884,0.1853,0.1966
420,o_proj,360,13.6458,0.0379,0.0358,0.0399
420,qkv_proj,360,14.7087,0.0409,0.0389,0.0860
430,attn,360,115.2154,0.3200,0.2949,0.5693
430,attn_kernel,360,80.3195,0.2231,0.1987,0.4342
430,down_proj,360,22.0795,0.0613,0.0594,0.1034
430,gate_up_proj,360,37.4927,0.1041,0.1014,0.1516
430,mlp,360,67.8871,0.1886,0.1853,0.3441
430,o_proj,360,13.6325,0.0379,0.0369,0.0676
430,qkv_proj,360,14.7251,0.0409,0.0379,0.0676
440,attn,360,114.6061,0.3184,0.2908,0.5652
440,attn_kernel,360,79.6375,0.2212,0.1956,0.4321
440,down_proj,360,22.2833,0.0619,0.0584,0.0696
440,gate_up_proj,360,37.5306,0.1043,0.1014,0.1321
440,mlp,360,68.0786,0.1891,0.1843,0.2324
440,o_proj,360,13.9428,0.0387,0.0369,0.0440
440,qkv_proj,360,14.6248,0.0406,0.0379,0.0696
450,attn,360,115.5686,0.3210,0.2939,0.5458
450,attn_kernel,360,79.2238,0.2201,0.1946,0.4076
450,down_proj,360,23.2817,0.0647,0.0604,0.0707
450,gate_up_proj,360,37.7518,0.1049,0.1014,0.1116
450,mlp,360,69.2746,0.1924,0.1864,0.1997
450,o_proj,360,15.2965,0.0425,0.0399,0.0451
450,qkv_proj,360,14.6442,0.0407,0.0379,0.0676
