iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
0,prefill,1,8192,8193,0.0,642.571,642.571
1,prefill,1,8192,16385,643.685,655.998,12.313
2,prefill,1,8192,24577,656.76,668.871,12.11
3,prefill,1,8192,32769,1641.84,1655.122,13.283
4,prefill,2,8192,38240,2993.841,6204.465,3210.624
5,prefill,1,8192,10914,6206.313,6217.916,11.603
6,prefill,1,8192,19106,7024.714,7037.185,12.471
7,prefill,2,8192,24152,7038.071,7049.169,11.098
8,prefill,1,8192,11339,8142.556,8154.493,11.937
9,prefill,2,8192,16605,9419.481,9431.592,12.112
10,prefill,1,8192,11119,9988.447,10000.544,12.097
11,prefill,1,8192,19311,11639.744,11652.885,13.142
12,prefill,2,8192,24960,11653.842,11665.297,11.455
13,prefill,1,8192,10736,12765.849,12778.352,12.503
14,prefill,1,8192,18928,14117.818,14130.017,12.199
15,prefill,2,8192,20098,14668.398,14681.096,12.698
16,prefill,1,8192,15215,15776.81,15789.65,12.84
17,prefill,2,8192,22890,16706.491,16718.74,12.249
18,prefill,1,8192,8710,17452.601,17465.694,13.094
19,prefill,1,8192,16902,18884.159,18896.332,12.172
20,prefill,1,8192,25094,19357.483,19370.942,13.459
21,prefill,2,8192,30239,20378.198,20390.653,12.454
22,prefill,1,8192,11240,21750.787,21762.97,12.184
23,prefill,2,8192,15170,23207.087,23219.566,12.479
24,prefill,1,8192,12455,23762.17,23775.917,13.747
25,prefill,1,8192,20647,24709.236,24721.157,11.922
26,prefill,2,8192,23654,25372.6,25384.698,12.098
27,prefill,1,8192,13378,26556.252,26570.122,13.87
28,prefill,1,8192,21570,27661.251,27674.136,12.885
29,prefill,2,8192,24318,28319.565,28331.764,12.199
30,prefill,1,8192,13637,29543.182,29557.674,14.492
31,prefill,2,8192,15608,30644.705,30656.707,12.003
32,prefill,1,8192,14414,31310.372,31322.839,12.467
33,prefill,2,8192,20149,32197.425,32209.036,11.611
34,prefill,1,8192,10650,32939.382,32952.046,12.664
35,prefill,1,8192,18842,34126.963,34138.915,11.952
36,prefill,1,8192,27034,34694.257,34707.339,13.082
37,prefill,2,8192,28533,35799.576,35811.674,12.098
38,prefill,1,8192,14886,37253.833,37266.205,12.373
39,prefill,2,8192,17574,38329.847,38341.522,11.675
40,prefill,2,8192,11431,39026.27,39038.467,12.196
41,prefill,1,8192,10459,39981.208,39992.756,11.548
42,prefill,1,8192,18651,40681.236,40692.236,11.0
43,prefill,1,8192,26843,41284.982,41297.575,12.593
44,prefill,1,8192,35035,42382.061,42394.503,12.442
45,prefill,2,8192,36866,43830.132,43842.42,12.288
46,prefill,1,8192,14554,45626.673,45638.914,12.241
47,prefill,2,8192,15919,46874.612,46886.736,12.124
48,prefill,1,8192,15020,47518.483,47531.017,12.535
49,prefill,2,8192,18941,48394.646,48406.322,11.677
50,prefill,1,8192,12464,49159.788,49172.338,12.55
51,prefill,2,8192,17960,50218.8,50231.162,12.362
52,prefill,1,8192,10889,50856.145,50868.736,12.592
53,prefill,2,8192,15629,51974.524,51988.83,14.306
54,prefill,1,8192,11645,52539.782,52551.969,12.187
55,prefill,2,8192,13981,53533.404,53545.713,12.309
56,prefill,1,8192,14049,54156.892,54169.014,12.123
57,prefill,1,8192,22241,55029.354,55041.429,12.075
58,prefill,2,8192,27540,55759.759,55772.27,12.511
59,prefill,1,8192,11086,57011.555,57023.657,12.103
60,prefill,1,8192,19278,58420.625,58432.683,12.058
61,prefill,1,8192,27470,58980.036,58992.463,12.428
62,prefill,2,8192,31715,60105.608,60117.89,12.281
63,prefill,1,8192,12140,61579.466,61591.902,12.437
64,prefill,1,8192,20332,63022.676,63034.649,11.973
65,prefill,2,8192,25982,63572.556,63585.044,12.488
66,prefill,1,8192,10735,64744.897,64756.763,11.866
