iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
10,attn,360,277.7283,0.7715,0.7137,13.6131
10,attn_kernel,360,230.5976,0.6405,0.6195,1.0230
10,down_proj,360,22.0887,0.0614,0.0584,0.1075
10,gate_up_proj,360,37.4252,0.1040,0.1014,0.2836
10,mlp,360,67.8666,0.1885,0.1843,0.5294
10,o_proj,360,26.0055,0.0722,0.0358,12.4631
10,qkv_proj,360,14.6268,0.0406,0.0379,0.0778
20,attn,360,264.6067,0.7350,0.7137,1.0629
20,attn_kernel,360,229.9709,0.6388,0.6205,0.9206
20,down_proj,360,22.0150,0.0612,0.0594,0.0635
20,gate_up_proj,360,37.2705,0.1035,0.1004,0.1085
20,mlp,360,67.5400,0.1876,0.1833,0.1925
20,o_proj,360,13.5567,0.0377,0.0369,0.0399
20,qkv_proj,360,14.6207,0.0406,0.0379,0.0768
30,attn,360,264.9477,0.7360,0.7158,1.0701
30,attn_kernel,360,230.3293,0.6398,0.6216,0.9318
30,down_proj,360,22.0549,0.0613,0.0594,0.0635
30,gate_up_proj,360,37.2531,0.1035,0.1014,0.1075
30,mlp,360,67.5379,0.1876,0.1843,0.1925
30,o_proj,360,13.5885,0.0377,0.0358,0.0399
30,qkv_proj,360,14.6299,0.0406,0.0379,0.0717
40,attn,360,264.9272,0.7359,0.7127,1.1059
40,attn_kernel,360,230.3048,0.6397,0.6195,0.9574
40,down_proj,360,22.0365,0.0612,0.0594,0.0635
40,gate_up_proj,360,37.2531,0.1035,0.1014,0.1085
40,mlp,360,67.5215,0.1876,0.1843,0.1925
40,o_proj,360,13.5772,0.0377,0.0358,0.0399
40,qkv_proj,360,14.6278,0.0406,0.0379,0.0748
50,attn,360,265.9953,0.7389,0.7188,1.1233
50,attn_kernel,360,231.2028,0.6422,0.6246,0.9800
50,down_proj,360,22.0559,0.0613,0.0594,0.0635
50,gate_up_proj,360,37.2675,0.1035,0.1014,0.1085
50,mlp,360,67.5420,0.1876,0.1843,0.1925
50,o_proj,360,13.7431,0.0382,0.0358,0.2079
50,qkv_proj,360,14.6145,0.0406,0.0379,0.0758
60,attn,360,266.2461,0.7396,0.7199,1.0547
60,attn_kernel,360,231.6308,0.6434,0.6246,0.9144
60,down_proj,360,22.0375,0.0612,0.0594,0.0635
60,gate_up_proj,360,37.2152,0.1034,0.1014,0.1075
60,mlp,360,67.4888,0.1875,0.1843,0.1925
60,o_proj,360,13.5711,0.0377,0.0369,0.0399
60,qkv_proj,360,14.6237,0.0406,0.0379,0.0707
70,attn,360,266.3301,0.7398,0.7199,1.0578
70,attn_kernel,360,231.7312,0.6437,0.6257,0.9185
70,down_proj,360,22.1645,0.0616,0.0594,0.2028
70,gate_up_proj,360,37.2613,0.1035,0.1014,0.1075
70,mlp,360,67.6547,0.1879,0.1843,0.3277
70,o_proj,360,13.5823,0.0377,0.0369,0.0399
70,qkv_proj,360,14.6227,0.0406,0.0379,0.0707
80,attn,360,266.8820,0.7413,0.7199,1.1274
80,attn_kernel,360,232.0886,0.6447,0.6257,0.9871
80,down_proj,360,22.0119,0.0611,0.0594,0.0635
80,gate_up_proj,360,37.2316,0.1034,0.1014,0.1085
80,mlp,360,67.4806,0.1874,0.1843,0.1925
80,o_proj,360,13.5741,0.0377,0.0369,0.0399
80,qkv_proj,360,14.8101,0.0411,0.0379,0.2017
90,attn,360,267.3490,0.7426,0.7199,1.2349
90,attn_kernel,360,232.6211,0.6462,0.6257,1.0547
90,down_proj,360,22.0355,0.0612,0.0594,0.0635
90,gate_up_proj,360,37.2634,0.1035,0.1014,0.1075
90,mlp,360,67.5154,0.1875,0.1843,0.1915
90,o_proj,360,13.5711,0.0377,0.0358,0.0399
90,qkv_proj,360,14.6883,0.0408,0.0389,0.1065
100,attn,360,264.6098,0.7350,0.6717,1.0496
100,attn_kernel,360,230.0406,0.6390,0.5786,0.9124
100,down_proj,360,22.0406,0.0612,0.0584,0.0645
100,gate_up_proj,360,37.2490,0.1035,0.1014,0.1085
100,mlp,360,67.5328,0.1876,0.1843,0.1915
100,o_proj,360,13.5567,0.0377,0.0369,0.0399
100,qkv_proj,360,14.5910,0.0405,0.0379,0.0707
110,attn,360,248.6344,0.6907,0.6728,1.1325
110,attn_kernel,360,214.0088,0.5945,0.5775,0.9861
110,down_proj,360,22.0406,0.0612,0.0594,0.0645
110,gate_up_proj,360,37.3207,0.1037,0.1014,0.1075
110,mlp,360,67.5656,0.1877,0.1843,0.1915
110,o_proj,360,13.5926,0.0378,0.0358,0.0399
110,qkv_proj,360,14.6473,0.0407,0.0379,0.0758
120,attn,360,249.1566,0.6921,0.6728,1.0557
120,attn_kernel,360,214.5423,0.5960,0.5775,0.9062
