iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
0,prefill,1,8192,8193,0.0,641.869,641.869
1,prefill,1,8192,16385,642.912,655.163,12.251
2,prefill,1,8192,24577,655.953,667.106,11.153
3,prefill,1,8192,32769,1639.846,1652.299,12.453
4,prefill,2,8192,38240,2991.302,6206.219,3214.917
5,prefill,1,8192,10914,6209.117,6221.863,12.745
6,prefill,1,8192,19106,6228.82,6240.627,11.807
7,prefill,2,8192,24152,6978.687,6991.544,12.858
8,prefill,1,8192,11342,8086.642,8098.826,12.184
9,prefill,2,8192,16605,9156.385,9169.459,13.074
10,prefill,1,8192,11125,9930.11,9944.49,14.38
11,prefill,1,8192,19317,10805.19,10817.181,11.991
12,prefill,2,8192,24960,11572.541,11585.907,13.365
13,prefill,1,8192,10745,12698.488,12712.371,13.882
14,prefill,1,8192,18937,13847.284,13861.045,13.761
15,prefill,2,8192,20098,14595.573,14607.627,12.053
16,prefill,1,8192,15227,15704.421,15716.866,12.444
17,prefill,2,8192,22890,16432.611,16445.615,13.004
18,prefill,1,8192,8725,17378.673,17391.438,12.765
19,prefill,1,8192,16917,18622.068,18635.381,13.313
20,prefill,1,8192,25109,19282.071,19294.891,12.82
21,prefill,2,8192,30239,20302.67,20314.955,12.285
22,prefill,1,8192,11258,21677.693,21690.352,12.66
23,prefill,1,3912,15170,22913.094,22926.597,13.503
24,decode,8,8,38241,23684.181,23685.78,1.599
25,decode,8,8,38242,24198.91,24199.473,0.563
26,decode,8,8,38243,24230.692,24231.259,0.567
27,decode,8,8,38244,24259.217,24259.56,0.343
28,decode,8,8,38245,24290.59,24290.946,0.356
29,decode,8,8,38246,24320.929,24321.283,0.354
30,decode,8,8,38247,24351.775,24352.151,0.376
31,decode,8,8,38248,24382.622,24383.046,0.424
32,decode,8,8,38249,24413.528,24413.852,0.325
33,decode,8,8,38250,24444.295,24444.621,0.327
34,decode,8,8,38251,24475.256,24475.577,0.322
35,decode,8,8,38252,24506.019,24506.345,0.326
36,decode,8,8,38253,24536.91,24537.253,0.343
37,decode,8,8,38254,24567.79,24568.138,0.349
38,decode,8,8,38255,24598.597,24598.949,0.352
39,decode,8,8,38256,24629.289,24629.612,0.323
40,decode,8,8,38257,24660.702,24661.036,0.333
41,decode,8,8,38258,24691.089,24691.4,0.311
42,decode,8,8,38259,24721.953,24722.274,0.321
43,decode,8,8,38260,24752.731,24753.059,0.329
