iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
0,prefill,1,223,224,0.0,32.742,32.742
1,prefill,14,3213,253,35.386,220.099,184.713
2,prefill,40,8192,250,305.971,320.279,14.308
3,decode,52,56,251,671.039,672.107,1.068
4,decode,47,48,54,914.502,915.276,0.774
5,decode,44,48,54,917.638,918.106,0.468
6,decode,37,40,55,926.937,927.633,0.696
7,prefill,70,8192,241,948.631,961.1,12.469
8,prefill,42,7638,255,968.694,980.893,12.199
9,decode,138,144,256,1315.87,1317.008,1.138
10,decode,102,104,257,1583.645,1584.607,0.962
11,decode,88,88,258,1602.319,1603.236,0.917
12,decode,71,72,259,1611.484,1612.338,0.854
13,decode,57,64,260,1622.938,1623.772,0.834
14,prefill,59,8192,257,1642.903,1655.149,12.246
15,prefill,29,5783,247,1660.77,1672.506,11.736
16,decode,129,136,261,1979.498,1980.582,1.084
17,decode,102,104,262,2216.502,2217.217,0.716
18,decode,86,88,260,2236.468,2237.092,0.623
19,decode,73,80,261,2245.58,2246.438,0.858
20,decode,57,64,262,2257.89,2258.404,0.514
21,prefill,52,8192,260,2276.335,2288.53,12.195
22,prefill,44,8142,245,2296.341,2308.158,11.817
23,decode,133,136,263,2607.419,2608.245,0.826
24,decode,99,104,264,2932.891,2933.584,0.693
25,decode,81,88,265,2951.96,2952.754,0.793
26,decode,59,64,266,2961.101,2961.625,0.524
27,decode,48,48,267,2971.576,2972.055,0.478
28,prefill,52,8192,266,2990.054,3002.533,12.479
29,prefill,45,8192,263,3010.428,3022.243,11.815
30,decode,130,136,267,3323.084,3323.929,0.845
31,decode,106,112,267,3646.994,3648.043,1.048
32,decode,84,88,268,3665.567,3666.195,0.628
33,decode,65,72,269,3675.528,3676.1,0.572
34,decode,52,56,264,3686.659,3687.158,0.498
35,decode,41,48,265,3697.691,3698.162,0.47
36,prefill,51,8192,264,3716.115,3728.182,12.068
37,prefill,40,8192,248,3735.4,3747.075,11.675
38,decode,108,112,266,4049.739,4050.598,0.859
39,decode,87,88,267,4373.396,4374.042,0.646
40,decode,70,72,267,4386.291,4386.852,0.561
41,decode,49,56,268,4397.374,4397.87,0.497
42,decode,43,48,269,4407.27,4407.714,0.444
43,decode,34,40,270,4417.889,4418.316,0.427
44,prefill,43,8192,288,4434.46,4446.619,12.159
45,prefill,41,8192,258,4453.835,4465.654,11.818
46,decode,100,104,289,4767.372,4768.084,0.712
47,decode,85,88,290,5093.578,5094.212,0.634
48,decode,65,72,291,5105.638,5106.215,0.577
49,decode,51,56,292,5116.133,5116.617,0.483
50,decode,42,48,293,5127.002,5127.45,0.448
51,prefill,48,8192,269,5145.519,5157.617,12.097
52,prefill,46,8192,274,5165.593,5177.7,12.108
53,decode,114,120,294,5478.376,5479.441,1.065
54,decode,90,96,276,5805.201,5806.166,0.965
55,decode,74,80,277,5816.777,5817.359,0.582
56,decode,61,64,278,5827.364,5827.888,0.524
57,decode,44,48,279,5839.64,5840.12,0.48
58,prefill,63,8192,274,5859.541,5871.727,12.186
59,prefill,42,8192,272,5879.359,5891.079,11.719
60,decode,125,128,275,6196.454,6197.535,1.081
61,decode,95,96,276,6518.559,6519.226,0.667
62,decode,66,72,275,6534.018,6534.563,0.545
63,decode,48,48,276,6542.361,6542.827,0.466
64,prefill,52,8192,277,6561.323,6573.554,12.232
65,prefill,46,8192,253,6581.546,6593.322,11.775
66,decode,125,128,278,6898.055,6898.867,0.812
67,decode,112,112,279,7223.673,7224.717,1.044
68,decode,93,96,280,7235.482,7236.296,0.814
69,decode,77,80,281,7246.582,7247.301,0.719
70,decode,65,72,282,7258.106,7258.769,0.663
71,decode,51,56,283,7270.166,7270.761,0.595
72,prefill,53,8192,272,7289.85,7302.29,12.44
73,prefill,53,8192,276,7312.05,7323.951,11.901
74,decode,140,144,284,7623.706,7624.782,1.076
75,decode,121,128,285,7952.08,7953.06,0.98
76,decode,90,96,286,7969.666,7970.357,0.691
77,decode,74,80,287,7978.959,7979.533,0.574
78,decode,64,64,288,7989.989,7990.6,0.611
79,prefill,60,8192,286,8011.664,8023.851,12.187
80,prefill,45,8192,245,8032.166,8043.951,11.785
